,name,node_name,Edges Connected to cwe,Number of Edges Connected to cwe,Number of Edges Connected to cve,Edges Connected to cve,Edges Connected to tactic,Number of Edges Connected to tactic,Edges Connected to technique,Number of Edges Connected to technique,Edges Connected to capec,Number of Edges Connected to capec,Edges Connected to cpe,Number of Edges Connected to cpe,metadata,original_id
15,Timestamp Request,capec_00294,{'cwe_00412'},1,0,set(),set(),0,{'technique_00135'},1,set(),0,set(),0,{},295
16,Port Scanning,capec_00295,{'cwe_00412'},1,0,set(),set(),0,{'technique_00056'},1,set(),0,set(),0,{},300
17,Network Topology Mapping,capec_00296,{'cwe_00412'},1,0,set(),set(),0,{'technique_00024'},1,set(),0,set(),0,{},309
18,Active OS Fingerprinting,capec_00297,{'cwe_00412'},1,0,set(),set(),0,{'technique_00093'},1,set(),0,set(),0,{},312
19,Name not found,capec_00298,set(),0,0,set(),set(),0,{'technique_00206'},1,set(),0,set(),0,{},437
20,Modification During Manufacture,capec_00299,set(),0,0,set(),set(),0,{'technique_00206'},1,set(),0,set(),0,{},438
21,Manipulation During Distribution,capec_00300,set(),0,0,set(),set(),0,{'technique_00206'},1,set(),0,set(),0,{},439
22,Search Order Hijacking,capec_00301,{'cwe_00730'},1,0,set(),set(),0,"{'technique_00168', 'technique_00048'}",2,set(),0,set(),0,{},471
23,Modification of Windows Service Configuration,capec_00302,{'cwe_00546'},1,0,set(),set(),0,{'technique_00068'},1,set(),0,set(),0,{},478
24,Malicious Root Certificate,capec_00303,{'cwe_00546'},1,0,set(),set(),0,{'technique_00141'},1,set(),0,set(),0,{},479
25,Password Brute Forcing,capec_00304,"{'cwe_00506', 'cwe_00349', 'cwe_00844', 'cwe_00405', 'cwe_00505'}",5,0,set(),set(),0,{'technique_00121'},1,set(),0,set(),0,{},49
26,Altered Installed BIOS,capec_00305,set(),0,0,set(),set(),0,{'technique_00028'},1,set(),0,set(),0,{},532
27,Install New Service,capec_00306,{'cwe_00546'},1,0,set(),set(),0,{'technique_00060'},1,set(),0,set(),0,{},550
28,Modify Existing Service,capec_00307,"{'cwe_00373', 'cwe_00546'}",2,0,set(),set(),0,{'technique_00041'},1,set(),0,set(),0,{},551
29,Install Rootkit ,capec_00308,{'cwe_00546'},1,0,set(),set(),0,"{'technique_00022', 'technique_00072'}",2,set(),0,set(),0,{},552
30,Remote Services with Stolen Credentials,capec_00309,{'cwe_00373'},1,0,set(),set(),0,"{'technique_00030', 'technique_00086', 'technique_00037', 'technique_00144'}",4,set(),0,set(),0,{},555
31,Replace File Extension Handlers,capec_00310,{'cwe_00546'},1,0,set(),set(),0,{'technique_00052'},1,set(),0,set(),0,{},556
32,Name not found,capec_00311,set(),0,0,set(),set(),0,{'technique_00063'},1,set(),0,set(),0,{},557
33,Replace Trusted Executable,capec_00312,{'cwe_00546'},1,0,set(),set(),0,{'technique_00023'},1,set(),0,set(),0,{},558
34,Use of Known Domain Credentials,capec_00313,{'cwe_00373'},1,0,set(),set(),0,{'technique_00088'},1,set(),0,set(),0,{},560
35,Windows Admin Shares with Stolen Credentials,capec_00314,{'cwe_00373'},1,0,set(),set(),0,{'technique_00087'},1,set(),0,set(),0,{},561
36,Modify Shared File,capec_00315,{'cwe_00546'},1,0,set(),set(),0,{'technique_00091'},1,set(),0,set(),0,{},562
37,Add Malicious File to Shared Webroot,capec_00316,{'cwe_00546'},1,0,set(),set(),0,{'technique_00061'},1,set(),0,set(),0,{},563
38,Run Software at Logon,capec_00317,{'cwe_00546'},1,0,set(),set(),0,"{'technique_00047', 'technique_00173'}",2,set(),0,set(),0,{},564
39,Capture Credentials via Keylogger,capec_00318,set(),0,0,set(),set(),0,{'technique_00066'},1,set(),0,set(),0,{},568
40,Collect Data as Provided by Users,capec_00319,set(),0,0,set(),set(),0,{'technique_00152'},1,set(),0,set(),0,{},569
41,Name not found,capec_00320,set(),0,0,set(),set(),0,{'technique_00055'},1,set(),0,set(),0,{},570
42,Block Logging to Central Repository,capec_00321,set(),0,0,set(),set(),0,{'technique_00064'},1,set(),0,set(),0,{},571
43,Artificially Inflate File Sizes,capec_00322,set(),0,0,set(),set(),0,{'technique_00016'},1,set(),0,set(),0,{},572
44,Process Footprinting,capec_00323,{'cwe_00412'},1,0,set(),set(),0,{'technique_00067'},1,set(),0,set(),0,{},573
45,Services Footprinting,capec_00324,{'cwe_00412'},1,0,set(),set(),0,{'technique_00013'},1,set(),0,set(),0,{},574
46,Account Footprinting,capec_00325,{'cwe_00412'},1,0,set(),set(),0,{'technique_00098'},1,set(),0,set(),0,{},575
47,Group Permission Footprinting,capec_00326,{'cwe_00412'},1,0,set(),set(),0,{'technique_00079'},1,set(),0,set(),0,{},576
48,Owner Footprinting,capec_00327,{'cwe_00412'},1,0,set(),set(),0,{'technique_00043'},1,set(),0,set(),0,{},577
49,Disable Security Software,capec_00328,{'cwe_00546'},1,0,set(),set(),0,{'technique_00100'},1,set(),0,set(),0,{},578
50,Replace Winlogon Helper DLL,capec_00329,set(),0,0,set(),set(),0,{'technique_00007'},1,set(),0,set(),0,{},579
51,Token Impersonation,capec_00330,{'cwe_00409'},1,0,set(),set(),0,{'technique_00145'},1,set(),0,set(),0,{},633
52,Probe Audio and Video Peripherals,capec_00331,{'cwe_00914'},1,0,set(),set(),0,"{'technique_00134', 'technique_00136'}",2,set(),0,set(),0,{},634
53,Collect Data from Clipboard,capec_00332,{'cwe_00914'},1,0,set(),set(),0,{'technique_00126'},1,set(),0,set(),0,{},637
54,Probe System Files,capec_00333,{'cwe_00495'},1,0,set(),set(),0,{'technique_00092'},1,set(),0,set(),0,{},639
55,Inclusion of Code in Existing Process,capec_00334,set(),0,0,set(),set(),0,{'technique_00065'},1,set(),0,set(),0,{},640
56,DLL Side-Loading,capec_00335,{'cwe_00503'},1,0,set(),set(),0,{'technique_00083'},1,set(),0,set(),0,{},641
57,Identify Shared Files/Directories on System,capec_00336,"{'cwe_00914', 'cwe_00412'}",2,0,set(),set(),0,{'technique_00146'},1,set(),0,set(),0,{},643
58,Use of Captured Hashes (Pass The Hash),capec_00337,{'cwe_00373'},1,0,set(),set(),0,{'technique_00085'},1,set(),0,set(),0,{},644
59,Use of Captured Tickets (Pass The Ticket),capec_00338,{'cwe_00373'},1,0,set(),set(),0,{'technique_00108'},1,set(),0,set(),0,{},645
60,Peripheral Footprinting,capec_00339,{'cwe_00412'},1,0,set(),set(),0,{'technique_00131'},1,set(),0,set(),0,{},646
61,Collect Data from Registries,capec_00340,{'cwe_00346'},1,0,set(),set(),0,{'technique_00019'},1,set(),0,set(),0,{},647
62,Collect Data from Screen Capture,capec_00341,{'cwe_00914'},1,0,set(),set(),0,{'technique_00124'},1,set(),0,set(),0,{},648
63,Adding a Space to a File Extension,capec_00342,{'cwe_00985'},1,0,set(),set(),0,{'technique_00162'},1,set(),0,set(),0,{},649
64,Upload a Web Shell to a Web Server,capec_00343,"{'cwe_00409', 'cwe_00987'}",2,0,set(),set(),0,{'technique_00111'},1,set(),0,set(),0,{},650
65,Log Injection-Tampering-Forging,capec_00344,"{'cwe_01012', 'cwe_00370', 'cwe_00455', 'cwe_00653'}",4,0,set(),set(),0,{'technique_00080'},1,set(),0,set(),0,{},93
66,Accessing Functionality Not Properly Constrained by ACLs,capec_00345,"{'cwe_00351', 'cwe_00349', 'cwe_00348', 'cwe_00347', 'cwe_00350', 'cwe_00346'}",6,0,set(),set(),0,set(),0,set(),0,set(),0,{},1
67,Buffer Overflow via Environment Variables,capec_00352,"{'cwe_00362', 'cwe_00357', 'cwe_00359', 'cwe_00358', 'cwe_00360', 'cwe_00353', 'cwe_00361', 'cwe_00356', 'cwe_00354', 'cwe_00355'}",10,0,set(),set(),0,set(),0,set(),0,set(),0,{},10
68,Overflow Buffers,capec_00363,"{'cwe_00364', 'cwe_00360', 'cwe_00366', 'cwe_00353', 'cwe_00356', 'cwe_00367', 'cwe_00365'}",7,0,set(),set(),0,set(),0,set(),0,set(),0,{},100
69,Server Side Include (SSI) Injection,capec_00368,"{'cwe_00359', 'cwe_00369', 'cwe_00370', 'cwe_00357'}",4,0,set(),set(),0,set(),0,set(),0,set(),0,{},101
70,Session Sidejacking,capec_00371,"{'cwe_00375', 'cwe_00373', 'cwe_00372', 'cwe_00376', 'cwe_00374'}",5,0,set(),set(),0,set(),0,set(),0,set(),0,{},102
71,Clickjacking,capec_00377,{'cwe_00378'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},103
72,Cross Zone Scripting,capec_00379,"{'cwe_00381', 'cwe_00359', 'cwe_00382', 'cwe_00346', 'cwe_00380'}",5,0,set(),set(),0,set(),0,set(),0,set(),0,{},104
73,HTTP Request Splitting,capec_00383,"{'cwe_00385', 'cwe_00384'}",2,0,set(),set(),0,set(),0,set(),0,set(),0,{},105
74,Cross Site Tracing,capec_00386,"{'cwe_00387', 'cwe_00349'}",2,0,set(),set(),0,set(),0,set(),0,set(),0,{},107
75,Command Line Execution through SQL Injection,capec_00388,"{'cwe_00390', 'cwe_00357', 'cwe_00359', 'cwe_00389', 'cwe_00391'}",5,0,set(),set(),0,set(),0,set(),0,set(),0,{},108
76,Object Relational Mapping Injection,capec_00392,"{'cwe_00359', 'cwe_00389', 'cwe_00394', 'cwe_00393'}",4,0,set(),set(),0,set(),0,set(),0,set(),0,{},109
77,Cause Web Server Misclassification,capec_00395,{'cwe_00396'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},11
78,SQL Injection through SOAP Parameter Tampering,capec_00397,"{'cwe_00359', 'cwe_00389'}",2,0,set(),set(),0,set(),0,set(),0,set(),0,{},110
79,JSON Hijacking (aka JavaScript Hijacking),capec_00398,"{'cwe_00400', 'cwe_00401', 'cwe_00399'}",3,0,set(),set(),0,set(),0,set(),0,set(),0,{},111
80,Brute Force,capec_00402,"{'cwe_00403', 'cwe_00404', 'cwe_00405'}",3,0,set(),set(),0,set(),0,set(),0,set(),0,{},112
81,API Manipulation,capec_00406,{'cwe_00407'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},113
82,Authentication Abuse,capec_00408,{'cwe_00409'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},114
83,Authentication Bypass,capec_00410,{'cwe_00409'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},115
84,Excavation,capec_00411,{'cwe_00412'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},116
85,Interception,capec_00413,{'cwe_00414'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},117
86,Choosing Message Identifier,capec_00415,"{'cwe_00416', 'cwe_00417'}",2,0,set(),set(),0,set(),0,set(),0,set(),0,{},12
87,Double Encoding,capec_00418,"{'cwe_00426', 'cwe_00362', 'cwe_00427', 'cwe_00357', 'cwe_00359', 'cwe_00419', 'cwe_00421', 'cwe_00422', 'cwe_00423', 'cwe_00424', 'cwe_00420', 'cwe_00425'}",12,0,set(),set(),0,set(),0,set(),0,set(),0,{},120
88,Exploit Test APIs,capec_00428,{'cwe_00429'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},121
89,Privilege Abuse,capec_00430,"{'cwe_00347', 'cwe_00431'}",2,0,set(),set(),0,set(),0,set(),0,set(),0,{},122
90,Buffer Manipulation,capec_00432,{'cwe_00356'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},123
91,Shared Data Manipulation,capec_00433,set(),0,0,set(),set(),0,set(),0,set(),0,set(),0,{},124
92,Path Traversal,capec_00436,{'cwe_00437'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},126
93,Directory Indexing,capec_00438,"{'cwe_00349', 'cwe_00439', 'cwe_00440', 'cwe_00348', 'cwe_00441', 'cwe_00347', 'cwe_00350', 'cwe_00346'}",8,0,set(),set(),0,set(),0,set(),0,set(),0,{},127
94,Integer Attacks,capec_00442,{'cwe_00443'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},128
95,Pointer Manipulation,capec_00444,"{'cwe_00445', 'cwe_00443', 'cwe_00446'}",3,0,set(),set(),0,set(),0,set(),0,set(),0,{},129
96,Subverting Environment Variable Values,capec_00447,"{'cwe_00357', 'cwe_00359', 'cwe_00450', 'cwe_00449', 'cwe_00448', 'cwe_00354', 'cwe_00346', 'cwe_00412'}",8,0,set(),set(),0,set(),0,set(),0,set(),0,{},13
97,Try All Common Switches,capec_00452,{'cwe_00453'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},133
98,Email Injection,capec_00454,{'cwe_00455'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},134
99,Format String Injection,capec_00456,"{'cwe_00359', 'cwe_00458', 'cwe_00457', 'cwe_00357'}",4,0,set(),set(),0,set(),0,set(),0,set(),0,{},135
100,LDAP Injection,capec_00459,"{'cwe_00359', 'cwe_00460', 'cwe_00461'}",3,0,set(),set(),0,set(),0,set(),0,set(),0,{},136
101,Parameter Injection,capec_00462,{'cwe_00463'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},137
102,Reflection Injection,capec_00464,set(),0,0,set(),set(),0,set(),0,set(),0,set(),0,{},138
103,Relative Path Traversal,capec_00465,{'cwe_00466'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},139
104,Client-side Injection-induced Buffer Overflow,capec_00467,"{'cwe_00362', 'cwe_00370', 'cwe_00357', 'cwe_00359', 'cwe_00360', 'cwe_00353', 'cwe_00448', 'cwe_00356', 'cwe_00355'}",9,0,set(),set(),0,set(),0,set(),0,set(),0,{},14
105,Bypassing of Intermediate Forms in Multiple-Form Sets,capec_00468,{'cwe_00469'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},140
106,Cache Poisoning,capec_00470,"{'cwe_00472', 'cwe_00471', 'cwe_00473', 'cwe_00399', 'cwe_00400'}",5,0,set(),set(),0,set(),0,set(),0,set(),0,{},141
107,DNS Cache Poisoning,capec_00474,"{'cwe_00475', 'cwe_00472', 'cwe_00471', 'cwe_00473', 'cwe_00399', 'cwe_00400'}",6,0,set(),set(),0,set(),0,set(),0,set(),0,{},142
108,Detect Unpublicized Web Pages,capec_00476,set(),0,0,set(),set(),0,set(),0,set(),0,set(),0,{},143
109,Detect Unpublicized Web Services,capec_00477,set(),0,0,set(),set(),0,set(),0,set(),0,set(),0,{},144
110,Checksum Spoofing,capec_00478,{'cwe_00479'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},145
111,XML Schema Poisoning,capec_00480,"{'cwe_00481', 'cwe_00449'}",2,0,set(),set(),0,set(),0,set(),0,set(),0,{},146
112,XML Ping of the Death,capec_00482,"{'cwe_00483', 'cwe_00435'}",2,0,set(),set(),0,set(),0,set(),0,set(),0,{},147
113,Content Spoofing,capec_00484,{'cwe_00399'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},148
114,Explore for Predictable Temporary File Names,capec_00485,set(),0,0,set(),set(),0,set(),0,set(),0,set(),0,{},149
115,Command Delimiters,capec_00486,"{'cwe_00390', 'cwe_00489', 'cwe_00362', 'cwe_00370', 'cwe_00425', 'cwe_00490', 'cwe_00493', 'cwe_00492', 'cwe_00491', 'cwe_00460', 'cwe_00487', 'cwe_00488'}",12,0,set(),set(),0,set(),0,set(),0,set(),0,{},15
116,Collect Data from Common Resource Locations,capec_00494,{'cwe_00495'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},150
117,Identity Spoofing,capec_00496,{'cwe_00409'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},151
118,Input Data Manipulation,capec_00497,{'cwe_00359'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},153
119,Resource Location Spoofing,capec_00498,set(),0,0,set(),set(),0,set(),0,set(),0,set(),0,{},154
120,Screen Temporary Files for Sensitive Information,capec_00499,{'cwe_00500'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},155
121,Sniffing Attacks,capec_00501,{'cwe_00502'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},157
122,Dictionary-based Password Attack,capec_00504,"{'cwe_00349', 'cwe_00505', 'cwe_00405', 'cwe_00506'}",4,0,set(),set(),0,set(),0,set(),0,set(),0,{},16
123,Exploit Script-Based APIs,capec_00507,{'cwe_00400'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},160
124,Infrastructure Manipulation,capec_00508,set(),0,0,set(),set(),0,set(),0,set(),0,set(),0,{},161
125,Manipulating Hidden Fields,capec_00509,{'cwe_00510'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},162
126,Mobile Phishing,capec_00511,set(),0,0,set(),set(),0,set(),0,set(),0,set(),0,{},164
127,File Manipulation,capec_00512,set(),0,0,set(),set(),0,set(),0,set(),0,set(),0,{},165
128,Force the System to Reset Values,capec_00513,{'cwe_00417'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},166
129,White Box Reverse Engineering,capec_00514,set(),0,0,set(),set(),0,set(),0,set(),0,set(),0,{},167
130,Windows ::DATA Alternate Data Stream,capec_00515,"{'cwe_00517', 'cwe_00516'}",2,0,set(),set(),0,set(),0,set(),0,set(),0,{},168
131,Footprinting,capec_00518,{'cwe_00412'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},169
132,Web Application Fingerprinting,capec_00524,{'cwe_00525'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},170
133,Action Spoofing,capec_00526,set(),0,0,set(),set(),0,set(),0,set(),0,set(),0,{},173
134,Flash Parameter Injection,capec_00527,{'cwe_00463'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},174
135,Code Inclusion,capec_00528,{'cwe_00529'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},175
136,Configuration/Environment Manipulation,capec_00530,{'cwe_00449'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},176
137,Cross-Site Flashing,capec_00531,set(),0,0,set(),set(),0,set(),0,set(),0,set(),0,{},178
138,Calling Micro-Services Directly,capec_00532,set(),0,0,set(),set(),0,set(),0,set(),0,set(),0,{},179
139,XSS Targeting Non-Script Elements,capec_00533,{'cwe_00534'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},18
140,Exploiting Incorrectly Configured Access Control Security Levels,capec_00535,{'cwe_00347'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},180
141,Flash File Overlay,capec_00536,{'cwe_00378'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},181
142,Flash Injection,capec_00537,"{'cwe_00359', 'cwe_00362', 'cwe_00425'}",3,0,set(),set(),0,set(),0,set(),0,set(),0,{},182
143,IMAP/SMTP Command Injection,capec_00538,{'cwe_00460'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},183
144,Software Integrity Attack,capec_00539,{'cwe_00540'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},184
145,Malicious Software Download,capec_00541,{'cwe_00540'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},185
146,Malicious Software Update,capec_00542,{'cwe_00540'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},186
147,Reverse Engineering,capec_00543,set(),0,0,set(),set(),0,set(),0,set(),0,set(),0,{},188
148,Black Box Reverse Engineering,capec_00544,set(),0,0,set(),set(),0,set(),0,set(),0,set(),0,{},189
149,Embedding Scripts within Scripts,capec_00545,{'cwe_00546'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},19
150,Reverse Engineer an Executable to Expose Assumed Hidden Functionality,capec_00547,{'cwe_00453'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},190
151,Read Sensitive Strings Within an Executable,capec_00548,{'cwe_00549'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},191
152,Protocol Analysis,capec_00550,{'cwe_00404'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},192
153,PHP Remote File Inclusion,capec_00551,"{'cwe_00534', 'cwe_00553', 'cwe_00552'}",3,0,set(),set(),0,set(),0,set(),0,set(),0,{},193
154,Fake the Source of Data,capec_00554,{'cwe_00409'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},194
155,Principal Spoof,capec_00555,set(),0,0,set(),set(),0,set(),0,set(),0,set(),0,{},195
156,Session Credential Falsification through Forging,capec_00556,"{'cwe_00557', 'cwe_00558'}",2,0,set(),set(),0,set(),0,set(),0,set(),0,{},196
157,XML Entity Expansion,capec_00559,"{'cwe_00483', 'cwe_00435'}",2,0,set(),set(),0,set(),0,set(),0,set(),0,{},197
158,XSS Targeting Error Pages,capec_00560,{'cwe_00561'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},198
159,XSS Using Alternate Syntax,capec_00562,{'cwe_00563'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},199
160,Inducing Account Lockout,capec_00564,{'cwe_00565'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},2
161,Encryption Brute Forcing,capec_00566,"{'cwe_00567', 'cwe_00568', 'cwe_00404', 'cwe_00349'}",4,0,set(),set(),0,set(),0,set(),0,set(),0,{},20
162,Removal of filters: Input filters_ output filters_ data masking,capec_00569,set(),0,0,set(),set(),0,set(),0,set(),0,set(),0,{},200
163,XML Entity Linking,capec_00570,{'cwe_00529'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},201
164,Create Malicious Client,capec_00571,{'cwe_00510'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},202
165,Lifting Sensitive Data Embedded in Cache,capec_00572,"{'cwe_00573', 'cwe_00502'}",2,0,set(),set(),0,set(),0,set(),0,set(),0,{},204
166,Signing Malicious Code,capec_00574,{'cwe_00347'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},206
167,Removing Important Client Functionality,capec_00575,{'cwe_00510'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},207
168,Removing/short-circuiting 'Purse' logic: removing/mutating 'cash' decrements,capec_00576,{'cwe_00510'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},208
169,XSS Using MIME Type Mismatch,capec_00577,"{'cwe_00359', 'cwe_00578', 'cwe_00579'}",3,0,set(),set(),0,set(),0,set(),0,set(),0,{},209
170,Exploitation of Trusted Credentials,capec_00580,"{'cwe_00583', 'cwe_00558', 'cwe_00581', 'cwe_00584', 'cwe_00582', 'cwe_00510', 'cwe_00557', 'cwe_00400', 'cwe_00354'}",9,0,set(),set(),0,set(),0,set(),0,set(),0,{},21
171,Functionality Misuse,capec_00585,set(),0,0,set(),set(),0,set(),0,set(),0,set(),0,{},212
172,Fuzzing for garnering J2EE/.NET-based stack traces_ for application mapping,capec_00586,"{'cwe_00587', 'cwe_00588'}",2,0,set(),set(),0,set(),0,set(),0,set(),0,{},214
173,Fuzzing and observing application log data/errors for application mapping,capec_00589,"{'cwe_00590', 'cwe_00587'}",2,0,set(),set(),0,set(),0,set(),0,set(),0,{},215
174,Communication Channel Manipulation,capec_00591,set(),0,0,set(),set(),0,set(),0,set(),0,set(),0,{},216
175,Exploiting Incorrectly Configured SSL,capec_00592,{'cwe_00416'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},217
176,Spoofing of UDDI/ebXML Messages,capec_00593,{'cwe_00399'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},218
177,XML Routing Detour Attacks,capec_00594,"{'cwe_00595', 'cwe_00473'}",2,0,set(),set(),0,set(),0,set(),0,set(),0,{},219
178,Exploiting Trust in Client,capec_00596,"{'cwe_00349', 'cwe_00359', 'cwe_00581', 'cwe_00409', 'cwe_00412'}",5,0,set(),set(),0,set(),0,set(),0,set(),0,{},22
179,Client-Server Protocol Manipulation,capec_00597,{'cwe_00598'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},220
180,XML External Entities Blowup,capec_00599,{'cwe_00600'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},221
181,iFrame Overlay,capec_00601,{'cwe_00378'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},222
182,Fingerprinting,capec_00602,{'cwe_00412'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},224
183,Session Credential Falsification through Manipulation,capec_00603,"{'cwe_00481', 'cwe_00604'}",2,0,set(),set(),0,set(),0,set(),0,set(),0,{},226
184,DTD Injection,capec_00605,{'cwe_00529'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},228
185,XML Attribute Blowup,capec_00606,{'cwe_00435'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},229
186,File Content Injection,capec_00607,{'cwe_00359'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},23
187,XML Nested Payloads,capec_00608,"{'cwe_00367', 'cwe_00359', 'cwe_00609', 'cwe_00610', 'cwe_00435'}",5,0,set(),set(),0,set(),0,set(),0,set(),0,{},230
188,XML Oversized Payloads,capec_00611,"{'cwe_00367', 'cwe_00359', 'cwe_00609', 'cwe_00610', 'cwe_00435'}",5,0,set(),set(),0,set(),0,set(),0,set(),0,{},231
189,Privilege Escalation,capec_00612,{'cwe_00431'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},233
190,Hijacking a privileged process,capec_00613,"{'cwe_00347', 'cwe_00387'}",2,0,set(),set(),0,set(),0,set(),0,set(),0,{},234
191,Catching exception throw/signal from privileged block,capec_00614,{'cwe_00523'},1,0,set(),set(),0,set(),0,set(),0,set(),0,{},236
