,name,node_name,Edges Connected to cwe,Number of Edges Connected to cwe,Number of Edges Connected to cve,Edges Connected to cve,Edges Connected to tactic,Number of Edges Connected to tactic,Edges Connected to technique,Number of Edges Connected to technique,Edges Connected to capec,Number of Edges Connected to capec,Edges Connected to cpe,Number of Edges Connected to cpe,metadata,original_id
12,Improper Input Validation,cwe_00359,set(),0,9,"{'cve_01254', 'cve_01457', 'cve_01143', 'cve_01146', 'cve_01081', 'cve_01496', 'cve_01205', 'cve_01169', 'cve_01248'}",set(),0,set(),0,"{'capec_00983', 'capec_00780', 'capec_00611', 'capec_00829', 'capec_00649', 'capec_00596', 'capec_00608', 'capec_00999', 'capec_00397', 'capec_01011', 'capec_00607', 'capec_00998', 'capec_01015', 'capec_00392', 'capec_00352', 'capec_00681', 'capec_00769', 'capec_01017', 'capec_00497', 'capec_00693', 'capec_00467', 'capec_00667', 'capec_00801', 'capec_00885', 'capec_00989', 'capec_00459', 'capec_00994', 'capec_01023', 'capec_00996', 'capec_01021', 'capec_01007', 'capec_00379', 'capec_00876', 'capec_00388', 'capec_00368', 'capec_00577', 'capec_00794', 'capec_00616', 'capec_00975', 'capec_00990', 'capec_01008', 'capec_00634', 'capec_00291', 'capec_00537', 'capec_00924', 'capec_00825', 'capec_01010', 'capec_00447', 'capec_01009', 'capec_00456', 'capec_00418'}",51,set(),0,{},20
13,Integer Overflow to Buffer Overflow,cwe_00360,set(),0,0,set(),set(),0,set(),0,"{'capec_00825', 'capec_00352', 'capec_00794', 'capec_01009', 'capec_00801', 'capec_01023', 'capec_00467', 'capec_00363', 'capec_00616', 'capec_00990', 'capec_01027'}",11,set(),0,{},680
14,Compiler Optimization Removal or Modification of Security-critical Code,cwe_00361,set(),0,0,set(),set(),0,set(),0,"{'capec_00352', 'capec_01009', 'capec_01023', 'capec_00801', 'capec_00616'}",5,set(),0,{},733
15,Incorrect Comparison,cwe_00362,set(),0,1,{'cve_01181'},set(),0,set(),0,"{'capec_00983', 'capec_00780', 'capec_00941', 'capec_00999', 'capec_01027', 'capec_00784', 'capec_00352', 'capec_00717', 'capec_00760', 'capec_00681', 'capec_01023', 'capec_00989', 'capec_00467', 'capec_00801', 'capec_00994', 'capec_00885', 'capec_00996', 'capec_01021', 'capec_01007', 'capec_00876', 'capec_00486', 'capec_00794', 'capec_00616', 'capec_00990', 'capec_01008', 'capec_00291', 'capec_00537', 'capec_00825', 'capec_01010', 'capec_01009', 'capec_00418'}",31,set(),0,{},697
16,Incorrect Calculation of Buffer Size,cwe_00364,set(),0,0,set(),set(),0,set(),0,"{'capec_00825', 'capec_00363'}",2,set(),0,{},131
17,Improper Validation of Array Index,cwe_00365,set(),0,1,{'cve_01117'},set(),0,set(),0,{'capec_00363'},1,set(),0,{},129
18,Buffer Access with Incorrect Length Value,cwe_00366,set(),0,0,set(),set(),0,set(),0,"{'capec_00363', 'capec_00640'}",2,set(),0,{},805
19,,cwe_00367,set(),0,0,set(),set(),0,set(),0,"{'capec_00608', 'capec_00363', 'capec_00611'}",3,set(),0,{},19
20,Improper Neutralization of Server-Side Includes (SSI) Within a Web Page,cwe_00369,set(),0,0,set(),set(),0,set(),0,"{'capec_00368', 'capec_00718'}",2,set(),0,{},97
21,,cwe_00370,set(),0,0,set(),set(),0,set(),0,"{'capec_00994', 'capec_01021', 'capec_00344', 'capec_00760', 'capec_00717', 'capec_00784', 'capec_00467', 'capec_00941', 'capec_01016', 'capec_00486', 'capec_00989', 'capec_00368', 'capec_01011', 'capec_01015', 'capec_01002', 'capec_00634'}",16,set(),0,{},713
22,Authentication Bypass by Capture-replay,cwe_00372,set(),0,0,set(),set(),0,set(),0,"{'capec_00371', 'capec_01032', 'capec_00942'}",3,set(),0,{},294
23,Insufficiently Protected Credentials,cwe_00373,set(),0,2,"{'cve_01045', 'cve_01459'}",set(),0,set(),0,"{'capec_00337', 'capec_00314', 'capec_00856', 'capec_00830', 'capec_00371', 'capec_00309', 'capec_00338', 'capec_00307', 'capec_00313'}",9,set(),0,{},522
24,Unprotected Transport of Credentials,cwe_00374,set(),0,0,set(),set(),0,set(),0,{'capec_00371'},1,set(),0,{},523
25,Cleartext Transmission of Sensitive Information,cwe_00375,set(),0,0,set(),set(),0,set(),0,"{'capec_00371', 'capec_00833', 'capec_00731', 'capec_00986'}",4,set(),0,{},319
26,Sensitive Cookie in HTTPS Session Without 'Secure' Attribute,cwe_00376,set(),0,0,set(),set(),0,set(),0,{'capec_00371'},1,set(),0,{},614
27,Improper Restriction of Rendered UI Layers or Frames,cwe_00378,set(),0,0,set(),set(),0,set(),0,"{'capec_00536', 'capec_00864', 'capec_00601', 'capec_00377', 'capec_00866'}",5,set(),0,{},1021
28,Execution with Unnecessary Privileges,cwe_00380,set(),0,0,set(),set(),0,set(),0,"{'capec_00379', 'capec_00993', 'capec_00827'}",3,set(),0,{},250
29,Not Using Complete Mediation,cwe_00381,set(),0,0,set(),set(),0,set(),0,{'capec_00379'},1,set(),0,{},638
30,Improper Encoding or Escaping of Output,cwe_00382,set(),0,0,set(),set(),0,set(),0,"{'capec_00379', 'capec_01011', 'capec_00999', 'capec_01017'}",4,set(),0,{},116
31,Interpretation Conflict,cwe_00384,set(),0,0,set(),set(),0,set(),0,"{'capec_00713', 'capec_00659', 'capec_00383'}",3,set(),0,{},436
32,Inconsistent Interpretation of HTTP Requests ('HTTP Request Smuggling'),cwe_00385,set(),0,2,"{'cve_01516', 'cve_01086'}",set(),0,set(),0,"{'capec_00713', 'capec_00383'}",2,set(),0,{},444
33,Incorrect Use of Privileged APIs,cwe_00387,set(),0,0,set(),set(),0,set(),0,"{'capec_00613', 'capec_00386'}",2,set(),0,{},648
34,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),cwe_00389,set(),0,1,{'cve_01048'},set(),0,set(),0,"{'capec_00994', 'capec_00392', 'capec_00388', 'capec_00397', 'capec_00989', 'capec_00827'}",6,set(),0,{},89
35,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),cwe_00390,set(),0,4,"{'cve_01079', 'cve_01053', 'cve_01535', 'cve_01223'}",set(),0,set(),0,"{'capec_01021', 'capec_00780', 'capec_00941', 'capec_00486', 'capec_00388'}",5,set(),0,{},78
36,Process Control,cwe_00391,set(),0,0,set(),set(),0,set(),0,{'capec_00388'},1,set(),0,{},114
37,,cwe_00393,set(),0,0,set(),set(),0,set(),0,{'capec_00392'},1,set(),0,{},100
38,SQL Injection: Hibernate,cwe_00394,set(),0,0,set(),set(),0,set(),0,{'capec_00392'},1,set(),0,{},564
39,Deployment of Wrong Handler,cwe_00396,set(),0,0,set(),set(),0,set(),0,{'capec_00395'},1,set(),0,{},430
40,Insufficient Verification of Data Authenticity,cwe_00399,set(),0,1,{'cve_01092'},set(),0,set(),0,"{'capec_00474', 'capec_00398', 'capec_00738', 'capec_00733', 'capec_00484', 'capec_00593', 'capec_00470', 'capec_00736', 'capec_00737', 'capec_00735'}",10,set(),0,{},345
41,Origin Validation Error,cwe_00400,set(),0,0,set(),set(),0,set(),0,"{'capec_00474', 'capec_00398', 'capec_00738', 'capec_00507', 'capec_00733', 'capec_00942', 'capec_00926', 'capec_00470', 'capec_01022', 'capec_00736', 'capec_00580', 'capec_01003', 'capec_00870', 'capec_00737', 'capec_01002', 'capec_00735'}",16,set(),0,{},346
42,Cross-Site Request Forgery (CSRF),cwe_00401,set(),0,6,"{'cve_01176', 'cve_01049', 'cve_01207', 'cve_01211', 'cve_01209', 'cve_01450'}",set(),0,set(),0,"{'capec_00807', 'capec_00398', 'capec_00819', 'capec_00963'}",4,set(),0,{},352
43,Use of Insufficiently Random Values,cwe_00403,set(),0,0,set(),set(),0,set(),0,"{'capec_00402', 'capec_00838', 'capec_00926'}",3,set(),0,{},330
44,Inadequate Encryption Strength,cwe_00404,set(),0,0,set(),set(),0,set(),0,"{'capec_00402', 'capec_00550', 'capec_00566'}",3,set(),0,{},326
45,Weak Password Requirements,cwe_00405,set(),0,1,{'cve_01462'},set(),0,set(),0,"{'capec_00504', 'capec_00402', 'capec_00304', 'capec_00907', 'capec_00995'}",5,set(),0,{},521
46,,cwe_00407,set(),0,0,set(),set(),0,set(),0,"{'capec_01036', 'capec_00406'}",2,set(),0,{},227
47,Improper Authentication,cwe_00409,set(),0,1,{'cve_01536'},set(),0,set(),0,"{'capec_00496', 'capec_00554', 'capec_00343', 'capec_00408', 'capec_00410', 'capec_00596', 'capec_00932', 'capec_00912', 'capec_00330', 'capec_01032'}",10,set(),0,{},287
48,Information Exposure,cwe_00412,set(),0,21,"{'cve_01449', 'cve_01252', 'cve_01500', 'cve_01447', 'cve_01512', 'cve_01098', 'cve_01119', 'cve_01464', 'cve_01460', 'cve_01498', 'cve_01455', 'cve_01475', 'cve_01461', 'cve_01510', 'cve_01047', 'cve_01144', 'cve_01503', 'cve_01448', 'cve_01534', 'cve_01515', 'cve_01465'}",set(),0,set(),0,"{'capec_00324', 'capec_00691', 'capec_00712', 'capec_00692', 'capec_00326', 'capec_00709', 'capec_00678', 'capec_00596', 'capec_00700', 'capec_00697', 'capec_00674', 'capec_00690', 'capec_00988', 'capec_00294', 'capec_00295', 'capec_00942', 'capec_00339', 'capec_00293', 'capec_00685', 'capec_00675', 'capec_00687', 'capec_00518', 'capec_00669', 'capec_00959', 'capec_00327', 'capec_00705', 'capec_00686', 'capec_00679', 'capec_00701', 'capec_00699', 'capec_00828', 'capec_00336', 'capec_00325', 'capec_00297', 'capec_00602', 'capec_00688', 'capec_00296', 'capec_00711', 'capec_01008', 'capec_00676', 'capec_00706', 'capec_00673', 'capec_00677', 'capec_00708', 'capec_00411', 'capec_00698', 'capec_00704', 'capec_00323', 'capec_00447', 'capec_00710', 'capec_00926', 'capec_00689', 'capec_00703', 'capec_00680', 'capec_00707', 'capec_00668', 'capec_00714'}",57,set(),0,{},200
49,Channel Accessible by Non-Endpoint ('Man-in-the-Middle'),cwe_00414,set(),0,0,set(),set(),0,set(),0,"{'capec_00413', 'capec_00955', 'capec_01032', 'capec_00818', 'capec_00958', 'capec_00929', 'capec_00925', 'capec_00912', 'capec_00956'}",9,set(),0,{},300
50,Information Exposure Through Sent Data,cwe_00416,set(),0,0,set(),set(),0,set(),0,"{'capec_00968', 'capec_00955', 'capec_00962', 'capec_00967', 'capec_00592', 'capec_00415', 'capec_00961', 'capec_00966', 'capec_00956'}",9,set(),0,{},201
51,Missing Authentication for Critical Function,cwe_00417,set(),0,0,set(),set(),0,set(),0,"{'capec_00963', 'capec_00415', 'capec_00721', 'capec_00513'}",4,set(),0,{},306
52,Improper Handling of Alternate Encoding,cwe_00419,set(),0,0,set(),set(),0,set(),0,"{'capec_00983', 'capec_00291', 'capec_00996', 'capec_01007', 'capec_00998', 'capec_01010', 'capec_00876', 'capec_00681', 'capec_00752', 'capec_00418', 'capec_01008', 'capec_00885'}",12,set(),0,{},173
53,Encoding Error,cwe_00420,set(),0,0,set(),set(),0,set(),0,"{'capec_00983', 'capec_00291', 'capec_00996', 'capec_01007', 'capec_00998', 'capec_01010', 'capec_00876', 'capec_00681', 'capec_00418', 'capec_00885'}",10,set(),0,{},172
54,Improper Handling of URL Encoding (Hex Encoding),cwe_00421,set(),0,0,set(),set(),0,set(),0,"{'capec_00820', 'capec_00418', 'capec_00983', 'capec_00998'}",4,set(),0,{},177
55,Incorrect Behavior Order: Validate Before Filter,cwe_00422,set(),0,0,set(),set(),0,set(),0,"{'capec_00291', 'capec_01007', 'capec_00780', 'capec_01010', 'capec_00681', 'capec_00418', 'capec_01008'}",7,set(),0,{},181
56,,cwe_00423,set(),0,0,set(),set(),0,set(),0,"{'capec_00983', 'capec_00291', 'capec_00996', 'capec_01007', 'capec_00780', 'capec_00998', 'capec_01010', 'capec_00876', 'capec_00681', 'capec_00418', 'capec_01008', 'capec_00885'}",12,set(),0,{},171
57,Permissive Whitelist,cwe_00424,set(),0,0,set(),set(),0,set(),0,"{'capec_00681', 'capec_00996', 'capec_00418', 'capec_00780'}",4,set(),0,{},183
58,Incomplete Blacklist,cwe_00425,set(),0,0,set(),set(),0,set(),0,"{'capec_00996', 'capec_00780', 'capec_00537', 'capec_00941', 'capec_00681', 'capec_00486', 'capec_00999', 'capec_01017', 'capec_00418'}",9,set(),0,{},184
59,,cwe_00426,set(),0,0,set(),set(),0,set(),0,"{'capec_00983', 'capec_00291', 'capec_01007', 'capec_00998', 'capec_01010', 'capec_00418', 'capec_01008'}",7,set(),0,{},21
60,Incomplete Blacklist to Cross-Site Scripting,cwe_00427,set(),0,0,set(),set(),0,set(),0,"{'capec_00996', 'capec_00291', 'capec_01010', 'capec_01017', 'capec_00418'}",5,set(),0,{},692
61,Leftover Debug Code,cwe_00429,set(),0,0,set(),set(),0,set(),0,{'capec_00428'},1,set(),0,{},489
62,Improper Privilege Management,cwe_00431,set(),0,6,"{'cve_01096', 'cve_01222', 'cve_01149', 'cve_01472', 'cve_01154', 'cve_01224'}",set(),0,set(),0,"{'capec_00913', 'capec_00612', 'capec_00430'}",3,set(),0,{},269
63,Improper Resource Shutdown or Release,cwe_00434,set(),0,0,set(),set(),0,set(),0,"{'capec_00851', 'capec_00850', 'capec_00279', 'capec_00280', 'capec_00849', 'capec_00281'}",6,set(),0,{},404
64,Allocation of Resources Without Limits or Throttling,cwe_00435,set(),0,0,set(),set(),0,set(),0,"{'capec_00611', 'capec_00850', 'capec_00840', 'capec_00608', 'capec_00848', 'capec_00843', 'capec_00842', 'capec_00559', 'capec_00841', 'capec_00837', 'capec_00851', 'capec_00482', 'capec_00280', 'capec_00606', 'capec_00823', 'capec_00849', 'capec_00846', 'capec_00279', 'capec_00883', 'capec_00845'}",20,set(),0,{},770
65,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),cwe_00437,set(),0,3,"{'cve_01088', 'cve_01157', 'cve_01046'}",set(),0,set(),0,"{'capec_00983', 'capec_01007', 'capec_00436', 'capec_01003', 'capec_01008'}",5,set(),0,{},22
66,Improper Protection of Alternate Path,cwe_00439,set(),0,0,set(),set(),0,set(),0,"{'capec_00910', 'capec_00438'}",2,set(),0,{},424
67,Direct Request ('Forced Browsing'),cwe_00440,set(),0,0,set(),set(),0,set(),0,"{'capec_01020', 'capec_00438'}",2,set(),0,{},425
68,Authentication Bypass Using an Alternate Path or Channel,cwe_00441,set(),0,0,set(),set(),0,set(),0,{'capec_00438'},1,set(),0,{},288
69,Incorrect Calculation,cwe_00443,set(),0,0,set(),set(),0,set(),0,"{'capec_00444', 'capec_00442'}",2,set(),0,{},682
70,Untrusted Pointer Dereference,cwe_00445,set(),0,0,set(),set(),0,set(),0,{'capec_00444'},1,set(),0,{},822
71,Use of Out-of-range Pointer Offset,cwe_00446,set(),0,0,set(),set(),0,set(),0,{'capec_00444'},1,set(),0,{},823
72,Missing Support for Integrity Check,cwe_00448,set(),0,0,set(),set(),0,set(),0,"{'capec_01002', 'capec_00739', 'capec_00447', 'capec_00740', 'capec_00467', 'capec_01000'}",6,set(),0,{},353
73,External Control of System or Configuration Setting,cwe_00449,set(),0,0,set(),set(),0,set(),0,"{'capec_00289', 'capec_00447', 'capec_00530', 'capec_00480', 'capec_00993', 'capec_01005', 'capec_00292', 'capec_00657', 'capec_01003'}",9,set(),0,{},15
74,External Control of File Name or Path,cwe_00450,set(),0,0,set(),set(),0,set(),0,"{'capec_00983', 'capec_00291', 'capec_01007', 'capec_01010', 'capec_00447', 'capec_01003', 'capec_00998', 'capec_01008'}",8,set(),0,{},73
75,Improper Link Resolution Before File Access ('Link Following'),cwe_00451,set(),0,0,set(),set(),0,set(),0,"{'capec_01003', 'capec_00718', 'capec_00282', 'capec_00286'}",4,set(),0,{},59
76,Hidden Functionality,cwe_00453,set(),0,0,set(),set(),0,set(),0,"{'capec_00452', 'capec_00547'}",2,set(),0,{},912
77,Improper Neutralization of Escap,cwe_00455,set(),0,0,set(),set(),0,set(),0,"{'capec_01011', 'capec_00454', 'capec_00344', 'capec_00760'}",4,set(),0,{},150
78,Use of Externally-Controlled Format String,cwe_00457,set(),0,0,set(),set(),0,set(),0,"{'capec_00456', 'capec_00990'}",2,set(),0,{},134
79,,cwe_00458,set(),0,0,set(),set(),0,set(),0,{'capec_00456'},1,set(),0,{},133
80,Improper Neutralization of Special Elements used in a Command ('Command Injection'),cwe_00460,set(),0,0,set(),set(),0,set(),0,"{'capec_00538', 'capec_00754', 'capec_00780', 'capec_01003', 'capec_00486', 'capec_01002', 'capec_00459', 'capec_00627'}",8,set(),0,{},77
81,Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection'),cwe_00461,set(),0,0,set(),set(),0,set(),0,{'capec_00459'},1,set(),0,{},90
82,Argument Injection or Modification,cwe_00463,set(),0,0,set(),set(),0,set(),0,"{'capec_00527', 'capec_01021', 'capec_00760', 'capec_00802', 'capec_00462'}",5,set(),0,{},88
83,Relative Path Traversal,cwe_00466,set(),0,0,set(),set(),0,set(),0,"{'capec_00465', 'capec_01003'}",2,set(),0,{},23
84,Incomplete Internal State Distinction,cwe_00469,set(),0,0,set(),set(),0,set(),0,"{'capec_00468', 'capec_01000'}",2,set(),0,{},372
85,Use of Less Trusted Source,cwe_00471,set(),0,0,set(),set(),0,set(),0,"{'capec_00474', 'capec_00470', 'capec_00999', 'capec_01017', 'capec_01003'}",5,set(),0,{},348
86,Acceptance of Extraneous Untrusted Data With Trusted Data,cwe_00472,set(),0,0,set(),set(),0,set(),0,"{'capec_00470', 'capec_00474', 'capec_01002'}",3,set(),0,{},349
87,Unintended Proxy or Intermediary ('Confused Deputy'),cwe_00473,set(),0,0,set(),set(),0,set(),0,"{'capec_00470', 'capec_00594', 'capec_00474', 'capec_00817'}",4,set(),0,{},441
88,Reliance on Reverse DNS Resolution for a Security-Critical Action,cwe_00475,set(),0,0,set(),set(),0,set(),0,"{'capec_00474', 'capec_00662', 'capec_00999', 'capec_01022'}",4,set(),0,{},350
89,Improper Validation of Integrity Check Value,cwe_00479,set(),0,0,set(),set(),0,set(),0,"{'capec_00478', 'capec_01002', 'capec_00810'}",3,set(),0,{},354
90,External Control of Assumed-Immutable Web Parameter,cwe_00481,set(),0,0,set(),set(),0,set(),0,"{'capec_00740', 'capec_00603', 'capec_00480', 'capec_00693'}",4,set(),0,{},472
91,Uncontrolled Resource Consumption,cwe_00483,set(),0,3,"{'cve_01043', 'cve_01507', 'cve_01195'}",set(),0,set(),0,"{'capec_00482', 'capec_00559', 'capec_00847'}",3,set(),0,{},400
92,Improper Neutralization of Expression/Command Delimiters,cwe_00487,set(),0,0,set(),set(),0,set(),0,"{'capec_00486', 'capec_00941'}",2,set(),0,{},146
93,Incorrect Regular Expression,cwe_00488,set(),0,0,set(),set(),0,set(),0,"{'capec_00486', 'capec_01008', 'capec_00941'}",3,set(),0,{},185
94,Improper Neutralization of CRLF Sequences ('CRLF Injection'),cwe_00489,set(),0,0,set(),set(),0,set(),0,"{'capec_00486', 'capec_01011'}",2,set(),0,{},93
95,Improper Neutralization of Delimiters,cwe_00490,set(),0,0,set(),set(),0,set(),0,{'capec_00486'},1,set(),0,{},140
96,Failure to Sanitize Paired Delimiters,cwe_00491,set(),0,0,set(),set(),0,set(),0,{'capec_00486'},1,set(),0,{},157
97,Improper Neutralization of Special Elements,cwe_00492,set(),0,0,set(),set(),0,set(),0,{'capec_00486'},1,set(),0,{},138
98,Improper Neutralization of Variable Name Delimiters,cwe_00493,set(),0,0,set(),set(),0,set(),0,{'capec_00486'},1,set(),0,{},154
99,Files or Directories Accessible to External Parties,cwe_00495,set(),0,0,set(),set(),0,set(),0,"{'capec_00333', 'capec_00494', 'capec_00868'}",3,set(),0,{},552
100,Insecure Temporary File,cwe_00500,set(),0,0,set(),set(),0,set(),0,{'capec_00499'},1,set(),0,{},377
101,Missing Encryption of Sensitive Data,cwe_00502,set(),0,0,set(),set(),0,set(),0,"{'capec_00723', 'capec_00833', 'capec_00283', 'capec_00738', 'capec_00731', 'capec_00733', 'capec_00501', 'capec_00986', 'capec_00736', 'capec_00572', 'capec_00693', 'capec_00737', 'capec_00950', 'capec_00735'}",14,set(),0,{},311
102,Use of Incorrectly-Resolved Name or Reference,cwe_00503,set(),0,0,set(),set(),0,set(),0,"{'capec_00834', 'capec_00284', 'capec_00287', 'capec_00335'}",4,set(),0,{},706
103,Not Using Password Aging,cwe_00505,set(),0,0,set(),set(),0,set(),0,"{'capec_00304', 'capec_00995', 'capec_00907', 'capec_00504'}",4,set(),0,{},262
104,Password Aging with Long Expiration,cwe_00506,set(),0,0,set(),set(),0,set(),0,"{'capec_00304', 'capec_00995', 'capec_00907', 'capec_00504'}",4,set(),0,{},263
105,Client-Side Enforcement of Server-Side Security,cwe_00510,set(),0,0,set(),set(),0,set(),0,"{'capec_00509', 'capec_00576', 'capec_00738', 'capec_00731', 'capec_00733', 'capec_00693', 'capec_00736', 'capec_00580', 'capec_00575', 'capec_00735', 'capec_00737', 'capec_00571'}",12,set(),0,{},602
106,Improper Cross-boundary Removal of Sensitive Data,cwe_00516,set(),0,0,set(),set(),0,set(),0,{'capec_00515'},1,set(),0,{},212
107,Improper Handling of Windows ::DATA Alternate Data Stream,cwe_00517,set(),0,0,set(),set(),0,set(),0,{'capec_00515'},1,set(),0,{},69
108,Least Privilege Violation,cwe_00519,set(),0,0,set(),set(),0,set(),0,"{'capec_01003', 'capec_00718', 'capec_00286'}",3,set(),0,{},272
109,Improper Ownership Management,cwe_00520,set(),0,0,set(),set(),0,set(),0,"{'capec_00718', 'capec_00286'}",2,set(),0,{},282
110,,cwe_00521,set(),0,0,set(),set(),0,set(),0,"{'capec_00718', 'capec_00286'}",2,set(),0,{},275
111,,cwe_00522,set(),0,0,set(),set(),0,set(),0,"{'capec_00993', 'capec_00286', 'capec_00913', 'capec_00718', 'capec_01003'}",5,set(),0,{},264
112,Privilege Context Switching Error,cwe_00523,set(),0,0,set(),set(),0,set(),0,"{'capec_00684', 'capec_00614', 'capec_00718', 'capec_00286'}",4,set(),0,{},270
113,Exposure of System Data to an Unauthorized Control Sphere,cwe_00525,set(),0,0,set(),set(),0,set(),0,{'capec_00524'},1,set(),0,{},497
114,Inclusion of Functionality from Untrusted Control Sphere,cwe_00529,set(),0,0,set(),set(),0,set(),0,"{'capec_00605', 'capec_00650', 'capec_00638', 'capec_00528', 'capec_00637', 'capec_00570', 'capec_00639', 'capec_00906'}",8,set(),0,{},829
115,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),cwe_00534,set(),0,0,set(),set(),0,set(),0,"{'capec_00551', 'capec_00533', 'capec_00702', 'capec_01019'}",4,set(),0,{},80
116,Download of Code Without Integrity Check,cwe_00540,set(),0,0,set(),set(),0,set(),0,"{'capec_00288', 'capec_00542', 'capec_00888', 'capec_00539', 'capec_00541'}",5,set(),0,{},494
117,Improper Access Control,cwe_00546,set(),0,0,set(),set(),0,set(),0,"{'capec_00545', 'capec_00891', 'capec_00862', 'capec_00308', 'capec_00310', 'capec_00312', 'capec_00315', 'capec_00328', 'capec_00863', 'capec_00316', 'capec_00302', 'capec_00306', 'capec_00317', 'capec_00786', 'capec_00903', 'capec_00307', 'capec_00303'}",17,set(),0,{},284
118,Use of Hard-coded Credentials,cwe_00549,set(),0,0,set(),set(),0,set(),0,"{'capec_00995', 'capec_00548'}",2,set(),0,{},798
119,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),cwe_00552,set(),0,0,set(),set(),0,set(),0,{'capec_00551'},1,set(),0,{},98
120,,cwe_00553,set(),0,0,set(),set(),0,set(),0,"{'capec_00551', 'capec_00718'}",2,set(),0,{},714
